date,lat[unit="degrees_north"],lon[unit="degrees_east"],cft[unit="1"],dir[unit="degree"],mod[unit="m s-1"],prec[unit="kg m-2"],rh[unit="1"],t2m[unit="K"],u[unit="m s-1"],v[unit="m s-1"]
2012-03-10T07:00:00Z,43.339286234347675,-5.858834520544583,1.0,136.71358,0.83911335,0,0.81248945,279.59744,-0.5753345,0.6108203
2012-03-10T08:00:00Z,43.339286234347675,-5.858834520544583,1.0,22.929628,0.6829481,0,0.81307656,280.53876,-0.26607665,-0.6289844
2012-03-10T09:00:00Z,43.339286234347675,-5.858834520544583,1.0,248.55063,0.025824198,0,0.6714172,283.1383,0.024035644,0.009443359
2012-03-10T10:00:00Z,43.339286234347675,-5.858834520544583,0.98,311.12888,0.97853374,0,0.5579528,285.72382,0.737063,-0.6436353
2012-03-10T11:00:00Z,43.339286234347675,-5.858834520544583,0.86,357.32346,1.2576832,0,0.4945387,288.06195,0.05873047,-1.256311
2012-03-10T12:00:00Z,43.339286234347675,-5.858834520544583,0.85,27.999813,3.2138367,0,0.5451285,289.49713,-1.5087963,-2.8376539
2012-03-10T13:00:00Z,43.339286234347675,-5.858834520544583,1.0,34.22553,3.304197,0,0.5635475,289.71893,-1.8584522,-2.7320092
2012-03-10T14:00:00Z,43.339286234347675,-5.858834520544583,1.0,31.427122,3.8768418,0,0.60748065,289.13992,-2.021438,-3.308125
2012-03-10T15:00:00Z,43.339286234347675,-5.858834520544583,1.0,36.946625,3.6828125,0,0.63512677,288.47662,-2.2136304,-2.9432886
2012-03-10T16:00:00Z,43.339286234347675,-5.858834520544583,0.92,35.514057,4.4561768,0,0.69027346,287.44556,-2.5886059,-3.627207
2012-03-10T17:00:00Z,43.339286234347675,-5.858834520544583,0,39.1113,3.612512,0,0.7539035,286.11206,-2.278877,-2.8030274
2012-03-10T18:00:00Z,43.339286234347675,-5.858834520544583,0,47.79829,3.2506373,0,0.8243894,284.1048,-2.4080224,-2.1835914
2012-03-10T19:00:00Z,43.339286234347675,-5.858834520544583,0,48.112892,2.7110054,0,0.87536997,282.5625,-2.0182397,-1.8100439
2012-03-10T20:00:00Z,43.339286234347675,-5.858834520544583,0,57.709606,2.7028186,0,0.90542734,281.59262,-2.2848315,-1.4438745
2012-03-10T21:00:00Z,43.339286234347675,-5.858834520544583,0,60.92952,1.8133895,0,0.9468687,280.58725,-1.5849439,-0.8810986
2012-03-10T22:00:00Z,43.339286234347675,-5.858834520544583,0,45.199867,2.0878956,0,0.94938326,279.909,-1.4815063,-1.4712061
2012-03-10T23:00:00Z,43.339286234347675,-5.858834520544583,0,63.659138,2.2996268,0,0.95003706,279.35306,-2.0608568,-1.0203687
2012-03-11T00:00:00Z,43.339286234347675,-5.858834520544583,0,91.57655,1.9804493,0,0.9497078,278.84018,-1.9796997,0.054487303
